Weight,Temp_Bottom,Temp_Middle,Temp_Top,Current,Voltage,Energy_Q
773.23,25.60,125.00,38.90,0.00,0.00,0.000
773.18,25.70,125.00,38.90,0.00,0.00,0.000
773.15,25.80,125.00,39.00,0.00,0.00,0.000
773.10,25.90,125.00,39.10,0.00,0.00,0.000
773.12,25.90,125.00,39.10,0.00,0.00,0.000
773.04,25.90,125.00,39.20,0.00,0.00,0.000
772.95,25.90,125.00,39.30,0.00,0.00,0.000
772.94,26.00,125.00,39.50,0.00,0.00,0.000
772.85,26.00,125.00,39.50,0.00,0.00,0.000
772.83,26.00,125.00,39.60,0.00,0.00,0.000
772.80,26.00,125.00,39.70,0.00,0.00,0.000
772.76,26.00,125.00,39.80,0.00,0.00,0.000
772.65,26.00,125.00,40.00,0.00,0.00,0.000
772.62,26.10,125.00,125.00,0.00,0.00,0.000
772.50,26.10,125.00,125.00,0.00,0.00,0.000
772.46,26.10,125.00,125.00,0.00,0.00,0.000
772.45,26.10,125.00,125.00,0.00,0.00,0.000
772.35,26.30,125.00,125.00,0.00,0.00,0.000
772.32,26.40,125.00,125.00,0.00,0.00,0.000
772.29,26.40,125.00,125.00,0.00,0.00,0.000
772.21,26.50,125.00,125.00,0.00,0.00,0.000
772.22,26.50,125.00,125.00,0.00,0.00,0.000
772.16,26.50,125.00,125.00,0.00,0.00,0.000
772.12,26.50,125.00,125.00,0.00,0.00,0.000
772.05,26.60,125.00,125.00,0.00,0.00,0.000
771.94,26.60,125.00,125.00,0.00,0.00,0.000
772.03,26.50,125.00,125.00,0.00,0.00,0.000
771.93,26.50,125.00,125.00,0.00,0.00,0.000
771.88,26.40,125.00,125.00,0.00,0.00,0.000
771.88,26.30,125.00,125.00,0.00,0.00,0.000
771.79,26.20,125.00,125.00,0.00,0.00,0.000
771.68,26.10,125.00,125.00,0.00,0.00,0.000
771.66,25.90,125.00,125.00,0.00,0.00,0.000
771.65,25.80,125.00,125.00,0.00,0.00,0.000
771.59,25.70,125.00,125.00,0.00,0.00,0.000
771.57,25.60,125.00,125.00,0.00,0.00,0.000
771.49,25.50,125.00,125.00,0.00,0.00,0.000
771.40,25.40,125.00,125.00,0.00,0.00,0.000
771.41,25.30,125.00,125.00,0.00,0.00,0.000
771.37,25.30,125.00,125.00,0.00,0.00,0.000
771.32,25.20,125.00,125.00,0.00,0.00,0.000
771.29,25.10,125.00,125.00,0.00,0.00,0.000
771.28,25.00,125.00,125.00,0.00,0.00,0.000
771.19,25.00,125.00,125.00,0.00,0.00,0.000
771.18,24.90,125.00,125.00,0.00,0.00,0.000
771.18,24.90,125.00,125.00,0.00,0.00,0.000
771.12,24.90,125.00,125.00,0.00,0.00,0.000
771.10,24.90,62.50,125.00,0.00,0.00,0.000
771.02,25.00,125.00,125.00,0.00,0.00,0.000
771.01,25.00,125.00,125.00,0.00,0.00,0.000
770.98,25.10,62.50,125.00,0.00,0.00,0.000
770.88,25.10,125.00,125.00,0.00,0.00,0.000
770.86,25.20,125.00,125.00,0.00,0.00,0.000
770.84,25.20,62.50,125.00,0.00,0.00,0.000
770.75,25.30,125.00,125.00,0.00,0.00,0.000
770.79,25.30,125.00,125.00,0.00,0.00,0.000
770.75,25.30,62.50,125.00,0.00,0.00,0.000
770.66,25.30,125.00,125.00,0.00,0.00,0.000
770.68,25.40,125.00,125.00,0.00,0.00,0.000
770.58,25.40,125.00,125.00,0.00,0.00,0.000
770.54,25.50,125.00,125.00,0.00,0.00,0.000
770.39,25.60,125.00,125.00,0.00,0.00,0.000
770.46,25.70,125.00,125.00,0.00,0.00,0.000
770.46,25.80,125.00,125.00,0.00,0.00,0.000
770.39,25.90,125.00,125.00,0.00,0.00,0.000
770.36,25.90,125.00,125.00,0.00,0.00,0.000
770.32,26.00,125.00,125.00,0.00,0.00,0.000
770.27,26.00,125.00,125.00,0.00,0.00,0.000
770.17,26.00,125.00,125.00,0.00,0.00,0.000
770.14,26.00,125.00,125.00,0.00,0.00,0.000
770.10,26.00,125.00,125.00,0.00,0.00,0.000
770.06,26.10,125.00,125.00,0.00,0.00,0.000
770.05,26.10,125.00,125.00,0.00,0.00,0.000
769.98,26.10,125.00,125.00,0.00,0.00,0.000
769.93,26.10,125.00,125.00,0.00,0.00,0.000
769.88,26.10,125.00,125.00,0.00,0.00,0.000
769.78,26.10,125.00,125.00,0.00,0.00,0.000
769.79,26.10,125.00,125.00,0.00,0.00,0.000
769.77,26.20,125.00,125.00,0.00,0.00,0.000
769.78,26.30,125.00,125.00,0.00,0.00,0.000
769.65,26.30,125.00,125.00,0.00,0.00,0.000
769.58,26.40,125.00,125.00,0.00,0.00,0.000
769.56,26.40,125.00,125.00,0.00,0.00,0.000
769.40,26.40,125.00,125.00,0.00,0.00,0.000
769.58,26.40,125.00,125.00,0.00,0.00,0.000
769.52,26.50,125.00,125.00,0.00,0.00,0.000
769.40,26.50,125.00,125.00,0.00,0.00,0.000
769.39,26.40,125.00,125.00,0.00,0.00,0.000
769.30,26.30,125.00,125.00,0.00,0.00,0.000
769.23,26.20,125.00,125.00,0.00,0.00,0.000
769.24,26.10,125.00,125.00,0.00,0.00,0.000
769.29,26.00,125.00,125.00,0.00,0.00,0.000
769.16,25.70,125.00,125.00,0.00,0.00,0.000
769.14,25.70,125.00,125.00,0.00,0.00,0.000
769.08,25.50,125.00,125.00,0.00,0.00,0.000
769.07,25.50,125.00,125.00,0.00,0.00,0.000
769.01,25.30,125.00,125.00,0.00,0.00,0.000
769.06,25.20,125.00,125.00,0.00,0.00,0.000
768.95,25.20,125.00,125.00,0.00,0.00,0.000
768.92,25.10,125.00,125.00,0.00,0.00,0.000
768.86,25.10,125.00,125.00,0.00,0.00,0.000
768.85,25.10,125.00,125.00,0.00,0.00,0.000
768.79,25.20,125.00,125.00,0.00,0.00,0.000
768.76,25.20,125.00,125.00,0.00,0.00,0.000
768.73,25.20,62.50,125.00,0.00,0.00,0.000
768.65,25.20,125.00,125.00,0.00,0.00,0.000
768.64,25.30,125.00,125.00,0.00,0.00,0.000
768.61,25.50,62.50,125.00,0.00,0.00,0.000
768.52,25.60,125.00,125.00,0.00,0.00,0.000
768.48,25.70,125.00,125.00,0.00,0.00,0.000
768.45,25.90,125.00,125.00,0.00,0.00,0.000
768.44,25.90,125.00,125.00,0.00,0.00,0.000
774.70,26.10,125.00,125.00,0.00,0.00,0.000
768.45,26.10,125.00,125.00,0.00,0.00,0.000
768.38,26.20,125.00,125.00,0.00,0.00,0.000
756.75,26.30,125.00,125.00,0.00,0.00,0.000
755.54,26.30,125.00,125.00,0.00,0.00,0.000
753.30,26.40,125.00,125.00,0.00,0.00,0.000
756.54,26.50,125.00,125.00,0.00,0.00,0.000
756.49,26.50,125.00,125.00,0.00,0.00,0.000
756.34,26.60,125.00,125.00,0.00,0.00,0.000
756.61,26.60,125.00,125.00,0.00,0.00,0.000
