Weight,Temp_Bottom,Temp_Middle,Temp_Top,Current,Voltage,Energy_Q
727.36,125.00,47.50,30.90,0.00,0.00,-8751.300
727.37,125.00,47.50,30.90,0.00,0.00,-17502.600
727.40,125.00,47.40,30.90,0.00,0.00,-26253.900
727.48,125.00,47.30,30.90,0.00,0.00,-35005.200
727.52,125.00,47.20,30.90,0.00,0.00,-43756.500
727.53,125.00,47.20,30.80,0.00,0.00,-52517.100
727.60,125.00,47.10,30.80,0.00,0.00,-61277.700
727.60,125.00,47.00,30.80,0.00,0.00,-70038.300
727.62,125.00,47.00,30.80,0.00,0.00,-78798.900
727.69,125.00,46.90,30.80,0.00,0.00,-87559.500
727.61,125.00,46.80,30.80,0.00,0.00,-96320.100
727.67,125.00,46.70,30.80,0.00,0.00,-105080.700
727.66,125.00,46.70,30.70,0.00,0.00,-113850.600
727.69,125.00,46.60,30.80,0.00,0.00,-122611.200
727.52,125.00,46.50,30.70,0.00,0.00,-131381.100
727.84,125.00,46.40,30.70,0.00,0.00,-140151.000
727.87,125.00,46.40,30.70,0.00,0.00,-148920.900
727.81,125.00,46.20,30.80,0.00,0.00,-157681.500
727.84,125.00,46.20,30.80,0.00,0.00,-166442.100
727.76,125.00,46.10,30.70,0.00,0.00,-175212.000
727.74,125.00,46.10,30.70,0.00,0.00,-183981.900
727.71,125.00,46.20,30.70,0.00,0.00,-192751.800
727.64,125.00,46.30,30.70,0.00,0.00,-201521.700
727.68,125.00,46.50,30.70,0.00,0.00,-210291.600
727.65,125.00,46.70,30.70,0.00,0.00,-219061.500
727.60,125.00,47.20,30.80,0.00,0.00,-227822.100
726.30,125.00,47.50,30.80,0.00,0.00,0.000
726.39,125.00,47.80,30.80,0.00,0.00,0.000
726.48,125.00,48.60,30.90,0.00,0.00,0.000
726.48,125.00,48.90,30.90,0.00,0.00,0.000
726.49,125.00,49.40,31.00,0.00,0.00,0.000
726.53,125.00,49.80,31.00,0.00,0.00,0.000
726.53,125.00,50.80,31.10,0.00,0.00,0.000
726.47,125.00,51.30,31.20,0.00,0.00,0.000
726.52,125.00,51.80,31.40,0.00,0.00,0.000
726.49,125.00,52.20,31.40,0.00,0.00,0.000
726.38,125.00,53.30,31.50,0.00,0.00,0.000
726.38,125.00,53.70,31.60,0.00,0.00,0.000
726.37,125.00,54.30,31.70,0.00,0.00,0.000
726.34,125.00,54.70,32.00,0.00,0.00,0.000
726.33,125.00,55.80,32.10,0.00,0.00,0.000
726.35,125.00,56.40,32.30,0.00,0.00,0.000
726.23,125.00,56.80,32.40,0.00,0.00,0.000
727.19,125.00,57.90,32.50,0.00,0.00,0.000
727.08,125.00,58.40,32.80,0.00,0.00,0.000
727.12,125.00,58.90,33.00,0.00,0.00,0.000
