Weight,Temp_Bottom,Temp_Middle,Temp_Top,Current,Voltage,Energy_Q
744.76,26.20,50.40,33.20,0.00,0.00,0.000
744.74,26.20,50.60,33.20,0.00,0.00,0.000
744.82,26.20,51.20,33.30,0.00,0.00,0.000
744.77,26.10,51.50,33.40,0.00,0.00,0.000
744.64,26.10,51.90,33.50,0.00,0.00,0.000
744.66,26.10,52.60,33.50,0.00,0.00,0.000
744.60,26.00,53.00,33.60,0.00,0.00,0.000
744.63,26.00,53.50,33.70,0.00,0.00,0.000
744.64,26.00,53.80,33.80,0.00,0.00,0.000
744.55,26.00,54.80,34.00,0.00,0.00,0.000
744.51,25.90,55.30,34.10,0.00,0.00,0.000
744.41,26.00,55.70,34.20,0.00,0.00,0.000
744.46,26.00,56.20,34.30,0.00,0.00,0.000
744.40,26.00,57.20,34.50,0.00,0.00,0.000
744.36,26.00,57.70,34.70,0.00,0.00,0.000
744.32,26.00,58.20,34.80,0.00,0.00,0.000
744.10,26.00,58.70,34.90,0.00,0.00,0.000
744.10,26.00,59.70,35.10,0.00,0.00,0.000
744.09,26.10,60.10,35.30,0.00,0.00,0.000
744.04,26.10,60.60,35.50,0.00,0.00,0.000
743.97,26.20,61.50,35.60,0.00,0.00,0.000
743.93,26.30,61.90,35.80,0.00,0.00,0.000
743.88,26.40,62.50,35.90,0.00,0.00,0.000
743.88,26.60,62.80,36.20,0.00,0.00,0.000
743.79,26.70,63.70,36.40,0.00,0.00,0.000
743.71,26.80,64.10,36.50,0.00,0.00,0.000
743.72,26.80,64.50,36.70,0.00,0.00,0.000
743.70,26.80,65.20,36.80,0.00,0.00,0.000
743.63,26.90,65.60,37.10,0.00,0.00,0.000
743.59,26.90,66.00,37.20,0.00,0.00,0.000
743.60,26.90,66.70,37.40,0.00,0.00,0.000
743.40,26.90,67.00,37.60,0.00,0.00,0.000
743.37,26.80,67.30,37.70,0.00,0.00,0.000
743.40,26.90,68.00,37.90,0.00,0.00,0.000
743.33,26.90,68.30,38.10,0.00,0.00,0.000
743.24,26.90,68.60,38.30,0.00,0.00,0.000
743.19,26.80,69.10,38.40,0.00,0.00,0.000
743.23,26.90,69.40,38.50,0.00,0.00,0.000
743.09,26.80,69.70,38.80,0.00,0.00,0.000
743.15,26.90,70.20,38.90,0.00,0.00,0.000
743.09,27.00,70.40,39.10,0.00,0.00,0.000
743.09,27.00,70.70,39.20,0.00,0.00,0.000
743.05,27.00,71.20,39.30,0.00,0.00,0.000
742.91,27.10,71.40,39.60,0.00,0.00,0.000
742.95,27.10,71.60,39.70,0.00,0.00,0.000
742.80,27.10,72.00,39.80,0.00,0.00,0.000
742.79,27.10,72.10,39.90,0.00,0.00,0.000
742.77,27.10,72.20,40.10,0.00,0.00,0.000
742.77,27.00,72.30,40.30,0.00,0.00,0.000
742.70,26.90,72.30,40.40,0.00,0.00,0.000
742.65,26.90,72.20,40.40,0.00,0.00,0.000
742.62,26.80,71.90,40.50,0.00,0.00,0.000
742.60,26.70,71.60,40.60,0.00,0.00,0.000
742.46,26.60,71.40,40.60,0.00,0.00,0.000
742.49,26.50,70.80,40.70,0.00,0.00,0.000
742.52,26.40,70.30,40.70,0.00,0.00,0.000
742.44,26.30,70.00,40.70,0.00,0.00,0.000
742.37,26.30,69.00,40.70,0.00,0.00,0.000
742.33,26.10,68.50,40.60,0.00,0.00,0.000
742.41,26.10,67.90,40.50,0.00,0.00,0.000
742.26,26.10,66.80,40.40,0.00,0.00,0.000
742.31,26.00,66.30,40.40,0.00,0.00,0.000
742.33,26.00,65.80,40.30,0.00,0.00,0.000
